Date(UTC),NetworkUtilization,TransactionFee,BlockDifficulty,NetworkHash,Uncles,BlockCountRewards,BlockReward,GasUsed,GasLimit,Value (Wei),BlockTime,BlockSize,AddressCount,TxGrowth,Ethersupply2,Supply,MarketCap,Price
7/30/2015,0.0,0,0.121,11.5297,1299,6912,39316.09375,0,0,0,4.46,644,9205,8893,72049306.59375,72049306.59375,0.0,0.00
7/31/2015,0.0,0,0.603,51.4594,511,6863,36191.71875,0,0,0,12.58,582,9361,0,72085498.3125,72085498.3125,0.0,0.00
8/1/2015,0.0,0,0.887,57.7845,334,5293,27705.9375,0,0,0,16.34,575,9476,0,72113204.25,72113204.25,0.0,0.00
8/2/2015,0.0,0,1.02,67.9224,394,5358,28223.4375,0,0,0,16.12,581,9563,0,72141427.6875,72141427.6875,0.0,0.00
8/3/2015,0.0,0,1.126,74.5737,443,5280,27976.71875,0,0,0,16.37,587,9639,0,72169404.40625,72169404.40625,0.0,0.00
8/4/2015,0.0,0,1.217,82.0352,458,5368,28478.4375,0,0,0,16.1,587,9696,0,72197882.84375,72197882.84375,0.0,0.00
8/5/2015,0.0,0,1.328,86.1558,371,5235,27528.59375,0,0,0,16.51,579,9749,0,72225411.4375,72225411.4375,0.0,0.00
8/6/2015,0.0,0,1.381,88.3326,411,5116,27075.46875,0,0,0,16.89,584,9790,0,72252486.90625,72252486.90625,0.0,0.00
8/7/2015,0.1317,37318413511279304835,1.4709999999999999,95.2981,409,5189,27437.65625,49353826,122980,604684154870,16.65,633,10314,2050,72279924.5625,72279924.5625,200.215391038125,2.77
8/8/2015,0.0468,68099970071856826797,1.5859999999999999,104.8971,458,5256,27943.4375,376006093,1940277,322713574989,16.44,668,10730,2881,72307868.0,72307868.0,58.56937308,0.81
8/9/2015,0.0024,14098949703205590944,1.709,109.6916,421,5123,27178.28125,38863003,3141325,475467129048,16.86,618,11004,1329,72335046.28125,72335046.28125,53.527934248125,0.74
8/10/2015,0.0045,31165144438378735884,1.838,120.5988,415,5255,27817.34375,74070061,3141511,421654904254,16.44,631,11679,2037,72362863.625,72362863.625,49.206747265,0.68
8/11/2015,0.0099,11311448586019755030,2.036,134.7695,438,5280,28027.8125,163481740,3141521,77838819162,16.37,692,13576,4963,72390891.4375,72390891.4375,76.73434492375,1.06
8/12/2015,0.0044,32586992404377741650,2.207,143.0004,474,5124,27370.9375,70102332,3141555,444902379011,16.86,653,13913,2036,72418262.375,72418262.375,90.52282796875,1.25
8/13/2015,0.0053,24929169109943118841,2.3369999999999997,156.6101,504,5286,28268.125,88234087,3141552,268683475202,16.34,666,14459,2842,72446530.5,72446530.5,128.95482429,1.78
8/14/2015,0.0043,14354834112827458118,2.6710000000000003,196.7576,555,5809,31106.71875,78746522,3141575,193455494453,14.88,660,15024,3174,72477637.21875,72477637.21875,130.45974699375,1.80
8/15/2015,0.0035,8836593028046850811,3.378,227.665,441,5382,28512.65625,59565914,3141584,144368937208,16.04,638,15407,2284,72506149.875,72506149.875,129.78600827625,1.79
8/16/2015,0.0036,6677237924905556046,3.6319999999999997,231.8948,385,5132,27094.53125,58241191,3141581,120940093311,16.84,641,15698,2440,72533244.40625,72533244.40625,99.3705448365625,1.37
8/17/2015,0.0036,7642811839634956979,3.908,258.9066,377,5347,28118.90625,60515132,3141589,132149993345,16.16,635,15984,2512,72561363.3125,72561363.3125,87.073635975,1.20
8/18/2015,0.0043,11906071340176042601,4.378,270.4645,390,4948,26162.8125,66816413,3141585,146513014268,17.46,648,16268,2494,72587526.125,72587526.125,92.18615817875,1.27
8/19/2015,0.0056,15430950669480218002,4.42,284.0496,361,5192,27282.03125,91746712,3141611,194583349948,16.64,653,16553,3246,72614808.15625,72614808.15625,91.494658276875,1.26
8/20/2015,0.005,6855566942706630722,4.468999999999999,221.4382,257,4024,21057.03125,63112713,3141608,99011782801,21.47,650,16773,2303,72635865.1875,72635865.1875,107.5010804775,1.48
8/21/2015,0.0067,7855041724705318491,4.415,277.282,338,5088,26690.9375,106379973,3141620,79543407701,16.98,668,17070,3919,72662556.125,72662556.125,104.63408082,1.44
8/22/2015,0.0055,42547171829582457556,4.828,312.6127,323,5271,27550.46875,90744195,3141669,552841333007,16.39,648,17313,3579,72690106.59375,72690106.59375,101.0392481653125,1.39
8/23/2015,0.0075,8049767672901801716,5.138,317.1623,320,5013,26255.625,117802449,3141828,73439482806,17.24,681,17662,4190,72716362.21875,72716362.21875,98.1670889953125,1.35
8/24/2015,0.006,8876285419798610754,5.178999999999999,333.3458,377,5184,27333.28125,97648912,3141762,92409814705,16.67,673,17839,4432,72743695.5,72743695.5,90.20218242,1.24
8/25/2015,0.0071,8259755825110535782,5.172999999999999,325.2465,335,5097,26736.09375,114480057,3141658,76432335617,16.95,680,18089,4487,72770431.59375,72770431.59375,85.1414049646875,1.17
8/26/2015,0.0063,7447729278556984663,5.587000000000001,343.1277,303,5003,26137.96875,99511209,3141656,60481160549,17.27,669,18298,4156,72796569.5625,72796569.5625,84.4440206925,1.16
8/27/2015,0.01,8670963042887940562,5.925,341.1168,266,4708,24532.8125,147888097,3141738,59307091958,18.35,708,18508,5590,72821102.375,72821102.375,82.28784568375,1.13
8/28/2015,0.0077,9925148370505206658,6.251,355.2287,257,4653,24225.15625,111903559,3141816,92879907335,18.57,691,18687,4758,72845327.53125,72845327.53125,94.698925790625,1.30
8/29/2015,0.0073,5507451526061552074,6.6579999999999995,351.453,232,4329,22525.0,99107570,3141640,56211090684,19.93,682,18815,4139,72867852.53125,72867852.53125,85.984065986875,1.18
8/30/2015,0.0079,5634173742432616856,6.781000000000001,340.144,179,4155,21453.59375,102643603,3141760,55155494457,20.77,689,19017,4572,72889306.125,72889306.125,96.213884085,1.32
8/31/2015,0.01,7424533814378986634,7.2139999999999995,359.3523,182,4122,21293.4375,129040364,3141670,58423521569,20.87,731,19168,5196,72910599.5625,72910599.5625,98.429309409375,1.35
9/1/2015,0.0113,7843769855894396934,7.641,363.4134,171,3938,20342.96875,140186844,3142022,56671549652,21.86,741,19349,5153,72930942.53125,72930942.53125,98.4567724171875,1.35
9/2/2015,0.0124,8153735331051015790,8.283999999999999,355.9032,135,3577,18387.34375,139367393,3141705,59243651401,24.12,766,19500,5195,72949329.875,72949329.875,94.10463553875,1.29
9/3/2015,0.0119,6970025674099678731,8.355,339.3088,126,3383,17380.9375,126323875,3141915,55051483461,25.53,755,19646,4777,72966710.8125,72966710.8125,91.93805562375,1.26
