Date(UTC),TransactionFee,Blocksize,BlockDifficulty,NetworkHash,TxGrowth,AddressCount,Ethersupply2,EtherPrice
7/30/2015,0,644,0.121,11.5297,8893,9205,72049306.59375,0.0
7/31/2015,0,582,0.603,51.4594,0,9361,72085498.3125,0.0
8/1/2015,0,575,0.887,57.7845,0,9476,72113204.25,0.0
8/2/2015,0,581,1.02,67.9224,0,9563,72141427.6875,0.0
8/3/2015,0,587,1.126,74.5737,0,9639,72169404.40625,0.0
8/4/2015,0,587,1.217,82.0352,0,9696,72197882.84375,0.0
8/5/2015,0,579,1.328,86.1558,0,9749,72225411.4375,0.0
8/6/2015,0,584,1.381,88.3326,0,9790,72252486.90625,0.0
8/7/2015,37318413511279304835,633,1.4709999999999999,95.2981,2050,10314,72279924.5625,2.77
8/8/2015,68099970071856826797,668,1.5859999999999999,104.8971,2881,10730,72307868.0,0.81
8/9/2015,14098949703205590944,618,1.709,109.6916,1329,11004,72335046.28125,0.74
8/10/2015,31165144438378735884,631,1.838,120.5988,2037,11679,72362863.625,0.68
8/11/2015,11311448586019755030,692,2.036,134.7695,4963,13576,72390891.4375,1.06
8/12/2015,32586992404377741650,653,2.207,143.0004,2036,13913,72418262.375,1.25
8/13/2015,24929169109943118841,666,2.3369999999999997,156.6101,2842,14459,72446530.5,1.78
8/14/2015,14354834112827458118,660,2.6710000000000003,196.7576,3174,15024,72477637.21875,1.8
8/15/2015,8836593028046850811,638,3.378,227.665,2284,15407,72506149.875,1.79
8/16/2015,6677237924905556046,641,3.6319999999999997,231.8948,2440,15698,72533244.40625,1.37
8/17/2015,7642811839634956979,635,3.908,258.9066,2512,15984,72561363.3125,1.2
8/18/2015,11906071340176042601,648,4.378,270.4645,2494,16268,72587526.125,1.27
8/19/2015,15430950669480218002,653,4.42,284.0496,3246,16553,72614808.15625,1.26
8/20/2015,6855566942706630722,650,4.468999999999999,221.4382,2303,16773,72635865.1875,1.48
8/21/2015,7855041724705318491,668,4.415,277.282,3919,17070,72662556.125,1.44
8/22/2015,42547171829582457556,648,4.828,312.6127,3579,17313,72690106.59375,1.39
8/23/2015,8049767672901801716,681,5.138,317.1623,4190,17662,72716362.21875,1.35
8/24/2015,8876285419798610754,673,5.178999999999999,333.3458,4432,17839,72743695.5,1.24
8/25/2015,8259755825110535782,680,5.172999999999999,325.2465,4487,18089,72770431.59375,1.17
8/26/2015,7447729278556984663,669,5.587000000000001,343.1277,4156,18298,72796569.5625,1.16
8/27/2015,8670963042887940562,708,5.925,341.1168,5590,18508,72821102.375,1.13
8/28/2015,9925148370505206658,691,6.251,355.2287,4758,18687,72845327.53125,1.3
8/29/2015,5507451526061552074,682,6.6579999999999995,351.453,4139,18815,72867852.53125,1.18
8/30/2015,5634173742432616856,689,6.781000000000001,340.144,4572,19017,72889306.125,1.32
8/31/2015,7424533814378986634,731,7.2139999999999995,359.3523,5196,19168,72910599.5625,1.35
9/1/2015,7843769855894396934,741,7.641,363.4134,5153,19349,72930942.53125,1.35
9/2/2015,8153735331051015790,766,8.283999999999999,355.9032,5195,19500,72949329.875,1.29
9/3/2015,6970025674099678731,755,8.355,339.3088,4777,19646,72966710.8125,1.26
9/4/2015,9733856361469302860,762,6.47,350.0661,5642,19791,72989792.6875,1.27
9/5/2015,9141228323603367680,753,6.235,374.917,5519,19955,73015421.75,1.37
9/6/2015,8055487734515995632,733,6.305,388.4451,5521,20081,73041590.03125,1.3
9/7/2015,9256422395866533683,753,6.3389999999999995,379.8349,5702,20308,73067050.5,1.24
9/8/2015,10379926302044415805,759,6.077000000000001,370.7395,5622,20433,73092943.0,1.23
9/9/2015,9840601069163061227,765,6.202000000000001,386.1935,5604,20609,73119370.65625,1.21
9/10/2015,7925807170796993218,730,6.29,392.0801,5341,20711,73145814.875,1.16
9/11/2015,8876728152679961379,736,6.562,421.6556,6460,20897,73173054.71875,0.98
9/12/2015,11354833193505237873,761,6.832999999999999,424.2721,5596,21043,73199455.8125,1.04
9/13/2015,9578725673919106360,764,7.022,432.7014,6057,21252,73225627.21875,0.94
9/14/2015,9901548419395161346,771,6.626,399.6471,5572,21409,73251215.34375,0.87
9/15/2015,8426997145283307063,755,6.419,387.7858,5409,21581,73276830.65625,0.94
9/16/2015,15146617077844793236,739,6.178999999999999,383.9057,5872,21719,73303148.78125,0.9
9/17/2015,8556523791455505710,753,6.04,362.1457,5368,21826,73328584.40625,0.89
9/18/2015,11834821066198469252,785,5.653,346.2296,5802,21999,73354486.125,0.85
9/19/2015,7982204372925467553,735,5.547999999999999,357.5566,5205,22106,73381665.8125,0.89
9/20/2015,10969645471755072320,766,6.202000000000001,408.748,6402,22230,73409648.46875,0.94
9/21/2015,10180741940942933773,779,6.541,409.9779,6305,22363,73436300.34375,0.9
9/22/2015,11404145175916603648,807,6.624,410.0917,6804,22496,73462670.65625,0.9
9/23/2015,10700267104792060772,784,6.895,438.8619,7404,22648,73489750.96875,0.9
9/24/2015,10319506266501325064,782,7.029,436.2345,6224,22783,73516136.75,0.81
9/25/2015,9836594916126598067,767,6.977,443.497,5851,22902,73543140.1875,0.74
9/26/2015,9289146478621032364,765,7.227,440.6371,5907,22964,73569050.5,0.78
9/27/2015,8423870450444848099,725,7.252999999999999,426.444,5760,23045,73594061.59375,0.72
9/28/2015,9272346609307110334,755,6.747000000000001,391.4721,6123,23160,73618775.8125,0.59
9/29/2015,8877328420749419272,762,6.057,347.3122,5738,23283,73643144.25,0.68
9/30/2015,8385327115721004019,742,5.625,332.8925,5870,23385,73668238.0,0.72
10/1/2015,8767949463445914933,741,5.653,365.2783,6421,23482,73695660.03125,0.68
10/2/2015,9765296662850670640,773,5.982,378.4969,6063,23563,73722573.15625,0.68
10/3/2015,9791648364458627976,769,6.291,390.9186,6112,23689,73749026.90625,0.69
10/4/2015,9431925785897953000,776,6.206,371.1233,6624,23777,73774507.0625,0.67
10/5/2015,11486773507230090791,771,6.285,385.5859,6279,23909,73800643.9375,0.63
10/6/2015,9995299953552863558,781,6.276,368.4521,6458,24005,73825680.5,0.66
10/7/2015,12182989920710770554,808,5.984,366.9765,7121,24102,73851814.09375,0.61
10/8/2015,11972933368342351096,789,5.978,375.1336,6926,24168,73878596.28125,0.62
10/9/2015,11309218384317883884,779,6.122999999999999,364.9485,6763,24243,73904043.9375,0.65
10/10/2015,11382811617053815692,778,6.032,360.6383,6529,24303,73929543.625,0.63
10/11/2015,8998794599150719656,748,6.138999999999999,381.8711,6023,24359,73956054.40625,0.63
10/12/2015,10703807320817251298,787,6.145,386.3386,6593,24473,73982854.40625,0.63
10/13/2015,12323248799642253340,818,6.357,397.9554,6818,24675,74009522.6875,0.6
10/14/2015,11831998521079002721,791,6.482,394.1999,6830,24906,74035398.3125,0.51
10/15/2015,18870343861669733508,824,6.209,372.9212,6499,25142,74061008.78125,0.56
10/16/2015,21179446545648124480,827,5.815,347.0096,6795,25248,74086450.1875,0.53
10/17/2015,12291462445798012724,788,6.004,373.0388,6567,25356,74112900.8125,0.55
10/18/2015,13113012602069783055,812,5.974,362.4454,6481,25489,74138749.09375,0.52
10/19/2015,11699219139603278508,802,5.922000000000001,360.9165,6604,25729,74164715.8125,0.49
10/20/2015,11527019798769716636,770,5.835,359.4184,5897,25828,74190908.3125,0.44
10/21/2015,10155857734674392412,774,5.876,358.9999,6182,26090,74216954.71875,0.44
10/22/2015,13200504837911974188,782,5.734,341.149,5979,26244,74242285.5,0.59
10/23/2015,13747941391847577549,818,5.879,380.6258,6888,26449,74269844.09375,0.52
10/24/2015,10696638217152165404,771,6.287999999999999,400.8051,6361,26892,74296959.09375,0.57
10/25/2015,9079512126157535658,751,6.5889999999999995,415.4128,5830,27220,74323773.3125,0.65
10/26/2015,10773267121614423564,765,6.541,399.276,5938,27534,74349688.625,0.74
10/27/2015,18902897578375482359,815,6.542000000000001,423.6995,6784,27744,74377214.875,0.87
10/28/2015,10898696630107062428,808,6.846,425.0888,7346,27918,74403563.3125,1.01
10/29/2015,12550751739957046206,814,7.04,457.198,7836,28188,74431070.34375,1.16
10/30/2015,13466321660416294744,781,7.428999999999999,485.0091,7941,28770,74458794.25,1.04
10/31/2015,15482425600544887284,812,7.792999999999999,512.5808,7557,29166,74486542.0625,0.89
11/1/2015,16170261068417536249,783,7.781000000000001,520.7818,6915,29676,74514722.21875,1.05
11/2/2015,10396013972700378420,779,7.69,494.4047,6558,29973,74541856.4375,0.96
11/3/2015,12240350989948539726,844,7.332999999999999,480.1956,7399,30326,74569462.21875,1.0
11/4/2015,9392856950587456979,762,7.742999999999999,508.4657,7037,30608,74597178.625,0.87
11/5/2015,10593890524409684909,813,7.582000000000001,489.3514,7498,30815,74624470.03125,0.89
11/6/2015,15936270156556764007,812,7.5920000000000005,491.3861,7882,30968,74651892.21875,0.92
11/7/2015,32079919793349356329,1005,7.55,478.1613,10996,31514,74678607.53125,0.92
11/8/2015,29526878882442981964,1015,7.709,498.873,12413,32153,74705896.59375,1.02
11/9/2015,11263102919443230382,786,7.754,496.5674,7689,32455,74732956.125,1.0
11/10/2015,15351192628299204876,834,7.76,505.3881,8151,32634,74760400.1875,0.92
