Date(UTC),NetworkUtilization,TransactionFee,BlockDifficulty,NetworkHash,Uncles,BlockCountRewards,BlockReward,GasUsed,GasLimit,Value (Wei),BlockTime,BlockSize,AddressCount,TxGrowth,Ethersupply2,Supply,MarketCap,Price,Year,Month,Day,Price_tomorrow,Price_change_amount,Price_change,Percent
2015-07-30,0.0,0.0,0.121,11.5297,1299,6912,39316.09375,0,0,0,4.46,644,9205,8893,72049306.59375,72049306.59375,0.0,0.0,2015,7,30,0.0,0.0,0,0.0
2015-07-31,0.0,0.0,0.603,51.4594,511,6863,36191.71875,0,0,0,12.58,582,9361,0,72085498.3125,72085498.3125,0.0,0.0,2015,7,31,0.0,0.0,0,0.0
2015-08-01,0.0,0.0,0.887,57.7845,334,5293,27705.9375,0,0,0,16.34,575,9476,0,72113204.25,72113204.25,0.0,0.0,2015,8,1,0.0,0.0,0,0.0
2015-08-02,0.0,0.0,1.02,67.9224,394,5358,28223.4375,0,0,0,16.12,581,9563,0,72141427.6875,72141427.6875,0.0,0.0,2015,8,2,0.0,0.0,0,0.0
2015-08-03,0.0,0.0,1.126,74.5737,443,5280,27976.71875,0,0,0,16.37,587,9639,0,72169404.40625,72169404.40625,0.0,0.0,2015,8,3,0.0,0.0,0,0.0
2015-08-04,0.0,0.0,1.217,82.0352,458,5368,28478.4375,0,0,0,16.1,587,9696,0,72197882.84375,72197882.84375,0.0,0.0,2015,8,4,0.0,0.0,0,0.0
2015-08-05,0.0,0.0,1.328,86.1558,371,5235,27528.59375,0,0,0,16.51,579,9749,0,72225411.4375,72225411.4375,0.0,0.0,2015,8,5,0.0,0.0,0,0.0
2015-08-06,0.0,0.0,1.381,88.3326,411,5116,27075.46875,0,0,0,16.89,584,9790,0,72252486.90625,72252486.90625,0.0,0.0,2015,8,6,2.77,0.0,0,0.0
2015-08-07,0.1317,3.7318413511279305e+19,1.471,95.2981,409,5189,27437.65625,49353826,122980,604684154870,16.65,633,10314,2050,72279924.5625,72279924.5625,200.215391038125,2.77,2015,8,7,0.81,2.77,1,100.0
2015-08-08,0.0468,6.8099970071856824e+19,1.586,104.8971,458,5256,27943.4375,376006093,1940277,322713574989,16.44,668,10730,2881,72307868.0,72307868.0,58.56937308,0.81,2015,8,8,0.74,-1.96,0,-241.98
2015-08-09,0.0024,1.4098949703205591e+19,1.709,109.6916,421,5123,27178.28125,38863003,3141325,475467129048,16.86,618,11004,1329,72335046.28125,72335046.28125,53.527934248125,0.74,2015,8,9,0.68,-0.07000000000000006,0,-9.46
2015-08-10,0.0045,3.1165144438378738e+19,1.838,120.5988,415,5255,27817.34375,74070061,3141511,421654904254,16.44,631,11679,2037,72362863.625,72362863.625,49.206747265,0.68,2015,8,10,1.06,-0.05999999999999994,0,-8.82
2015-08-11,0.0099,1.1311448586019756e+19,2.036,134.7695,438,5280,28027.8125,163481740,3141521,77838819162,16.37,692,13576,4963,72390891.4375,72390891.4375,76.73434492375,1.06,2015,8,11,1.25,0.38,1,35.85
2015-08-12,0.0044,3.2586992404377743e+19,2.207,143.0004,474,5124,27370.9375,70102332,3141555,444902379011,16.86,653,13913,2036,72418262.375,72418262.375,90.52282796875,1.25,2015,8,12,1.78,0.18999999999999995,1,15.2
2015-08-13,0.0053,2.492916910994312e+19,2.337,156.6101,504,5286,28268.125,88234087,3141552,268683475202,16.34,666,14459,2842,72446530.5,72446530.5,128.95482429,1.78,2015,8,13,1.8,0.53,1,29.78
2015-08-14,0.0043,1.4354834112827458e+19,2.6710000000000003,196.7576,555,5809,31106.71875,78746522,3141575,193455494453,14.88,660,15024,3174,72477637.21875,72477637.21875,130.45974699375,1.8,2015,8,14,1.79,0.020000000000000018,1,1.11
2015-08-15,0.0035,8.836593028046851e+18,3.378,227.665,441,5382,28512.65625,59565914,3141584,144368937208,16.04,638,15407,2284,72506149.875,72506149.875,129.78600827625,1.79,2015,8,15,1.37,-0.010000000000000009,0,-0.56
2015-08-16,0.0036,6.677237924905556e+18,3.632,231.8948,385,5132,27094.53125,58241191,3141581,120940093311,16.84,641,15698,2440,72533244.40625,72533244.40625,99.3705448365625,1.37,2015,8,16,1.2,-0.41999999999999993,0,-30.66
2015-08-17,0.0036,7.642811839634957e+18,3.908,258.9066,377,5347,28118.90625,60515132,3141589,132149993345,16.16,635,15984,2512,72561363.3125,72561363.3125,87.073635975,1.2,2015,8,17,1.27,-0.17000000000000015,0,-14.17
2015-08-18,0.0043,1.1906071340176042e+19,4.378,270.4645,390,4948,26162.8125,66816413,3141585,146513014268,17.46,648,16268,2494,72587526.125,72587526.125,92.18615817875,1.27,2015,8,18,1.26,0.07000000000000006,1,5.51
2015-08-19,0.0056,1.5430950669480219e+19,4.42,284.0496,361,5192,27282.03125,91746712,3141611,194583349948,16.64,653,16553,3246,72614808.15625,72614808.15625,91.494658276875,1.26,2015,8,19,1.48,-0.010000000000000009,0,-0.79
2015-08-20,0.005,6.855566942706631e+18,4.4689999999999985,221.4382,257,4024,21057.03125,63112713,3141608,99011782801,21.47,650,16773,2303,72635865.1875,72635865.1875,107.5010804775,1.48,2015,8,20,1.44,0.21999999999999997,1,14.86
2015-08-21,0.0067,7.855041724705319e+18,4.415,277.282,338,5088,26690.9375,106379973,3141620,79543407701,16.98,668,17070,3919,72662556.125,72662556.125,104.63408082,1.44,2015,8,21,1.39,-0.040000000000000036,0,-2.78
2015-08-22,0.0055,4.2547171829582455e+19,4.828,312.6127,323,5271,27550.46875,90744195,3141669,552841333007,16.39,648,17313,3579,72690106.59375,72690106.59375,101.0392481653125,1.39,2015,8,22,1.35,-0.050000000000000044,0,-3.6
2015-08-23,0.0075,8.049767672901802e+18,5.138,317.1623,320,5013,26255.625,117802449,3141828,73439482806,17.24,681,17662,4190,72716362.21875,72716362.21875,98.1670889953125,1.35,2015,8,23,1.24,-0.039999999999999813,0,-2.96
2015-08-24,0.006,8.876285419798611e+18,5.1789999999999985,333.3458,377,5184,27333.28125,97648912,3141762,92409814705,16.67,673,17839,4432,72743695.5,72743695.5,90.20218242,1.24,2015,8,24,1.17,-0.1100000000000001,0,-8.87
